pid,sub_cnt,user_cnt,avg_cnt,ac_rate,ac_user_rate
P274980,1609,471,3.416135881104034,0.12865133623368552,0.38004246284501064
P274988,375,291,1.288659793814433,0.7706666666666667,0.9759450171821306
P274990,102,53,1.9245283018867925,0.28431372549019607,0.5283018867924528
P274999,2189,739,2.962110960757781,0.273184102329831,0.7564276048714479
P275018,1018,431,2.3619489559164735,0.39980353634577603,0.8329466357308585
P275032,9,5,1.8,0.2222222222222222,0.4
P275040,371,208,1.7836538461538463,0.5390835579514824,0.8990384615384616
P275051,76,44,1.7272727272727273,0.4342105263157895,0.7272727272727273
P275066,2434,1205,2.0199170124481327,0.41865242399342645,0.7900414937759336
P275073,68,48,1.4166666666666667,0.6470588235294118,0.875
P275088,2656,1607,1.6527691350342253,0.6189759036144579,0.9315494710640946
P275105,530,211,2.5118483412322274,0.2037735849056604,0.4312796208530806
P275124,43,24,1.7916666666666667,0.09302325581395349,0.16666666666666666
P275127,2865,1776,1.6131756756756757,0.5766143106457242,0.901463963963964
P275135,1276,692,1.8439306358381502,0.5666144200626959,0.9667630057803468
P275139,804,238,3.3781512605042017,0.26616915422885573,0.8445378151260504
P275145,660,180,3.6666666666666665,0.22727272727272727,0.6166666666666667
P275160,1431,856,1.6717289719626167,0.5220125786163522,0.8341121495327103
P275179,1057,515,2.0524271844660196,0.11920529801324503,0.2446601941747573
P275183,337,184,1.8315217391304348,0.5845697329376854,0.7717391304347826
P275185,2286,933,2.45016077170418,0.43132108486439197,0.9571275455519829
P275204,8,3,2.6666666666666665,0.125,0.3333333333333333
P275222,1440,941,1.5302869287991498,0.6173611111111111,0.9160467587672688
P275233,659,187,3.5240641711229945,0.15933232169954475,0.4919786096256685
P275239,1001,437,2.2906178489702516,0.38161838161838163,0.8421052631578947
P275256,14,12,1.1666666666666667,0.8571428571428571,1.0
P275257,354,132,2.6818181818181817,0.3785310734463277,0.7651515151515151
P275267,628,398,1.5778894472361809,0.606687898089172,0.9271356783919598
P275288,343,150,2.2866666666666666,0.27696793002915454,0.6133333333333333
P275299,3121,1207,2.5857497928748963,0.2777955783402756,0.695940347970174
P275311,5353,1688,3.171208530805687,0.2323930506258173,0.6984597156398105
P275322,685,382,1.793193717277487,0.21021897810218979,0.3769633507853403
P275326,1261,766,1.6462140992167102,0.5344964314036479,0.8511749347258486
P275341,122,78,1.564102564102564,0.6065573770491803,0.8974358974358975
P275357,4626,1857,2.491114701130856,0.38715953307393,0.946149703823371
P275369,20,8,2.5,0.35,0.75
P275375,498,187,2.663101604278075,0.3534136546184739,0.8823529411764706
P275400,90,51,1.7647058823529411,0.5222222222222223,0.7647058823529411
P275412,1568,1140,1.3754385964912281,0.7117346938775511,0.9710526315789474
P275428,1012,606,1.66996699669967,0.5810276679841897,0.9273927392739274
P275438,159,115,1.382608695652174,0.7358490566037735,0.9826086956521739
P275450,355,259,1.3706563706563706,0.7408450704225352,0.9922779922779923
P275456,172,84,2.0476190476190474,0.4476744186046512,0.8095238095238095
P275471,712,359,1.9832869080779945,0.5056179775280899,0.9526462395543176
P275472,670,198,3.3838383838383836,0.13432835820895522,0.3939393939393939
P275490,2496,1249,1.9983987189751802,0.421474358974359,0.8238590872698158
P275513,2917,1566,1.8627075351213283,0.48954405210833046,0.8582375478927203
P275515,1581,710,2.2267605633802816,0.433270082226439,0.9436619718309859
P275534,4968,1688,2.943127962085308,0.27938808373590984,0.7748815165876777
P275545,1478,365,4.049315068493151,0.22056833558863329,0.6547945205479452
P275553,526,388,1.3556701030927836,0.7281368821292775,0.9639175257731959
P275569,3533,1009,3.501486620416254,0.08349844324936315,0.24182358771060455
P275572,7,4,1.75,0.5714285714285714,0.75
P275587,209,108,1.9351851851851851,0.46411483253588515,0.8425925925925926
P275601,249,107,2.3271028037383177,0.40562248995983935,0.7757009345794392
P275618,210,163,1.2883435582822085,0.7,0.8711656441717791
P275637,529,212,2.4952830188679247,0.31947069943289225,0.6415094339622641
P275642,11,4,2.75,0.8181818181818182,0.5
P275661,3734,1474,2.5332428765264585,0.34065345474022496,0.7930800542740841
P275681,1251,481,2.600831600831601,0.3333333333333333,0.7484407484407485
P275687,584,336,1.7380952380952381,0.5102739726027398,0.8482142857142857
P275700,610,191,3.193717277486911,0.27377049180327867,0.7120418848167539
P275713,181,128,1.4140625,0.6132596685082873,0.859375
P275732,207,78,2.6538461538461537,0.19806763285024154,0.3974358974358974
P275751,109,45,2.422222222222222,0.3119266055045872,0.6
P275768,2760,1264,2.1835443037974684,0.4177536231884058,0.8781645569620253
P275770,37,15,2.466666666666667,0.32432432432432434,0.6
P275789,1791,617,2.9027552674230144,0.3093243997766611,0.8168557536466775
P275808,445,115,3.869565217391304,0.1707865168539326,0.5217391304347826
P275814,594,469,1.2665245202558635,0.8468013468013468,0.9914712153518124
P275828,683,367,1.8610354223433243,0.32503660322108346,0.555858310626703
P275838,2093,957,2.187042842215256,0.37888198757763975,0.8087774294670846
P275855,323,122,2.6475409836065573,0.21362229102167182,0.5
P275863,2017,1234,1.6345218800648298,0.593455627169063,0.9513776337115073
P275880,1014,461,2.1995661605206074,0.41321499013806706,0.7852494577006508
P275921,3116,1486,2.0969044414535665,0.4441591784338896,0.8963660834454913
P275942,1450,791,1.8331226295828065,0.516551724137931,0.8900126422250316
P275949,885,292,3.030821917808219,0.18757062146892656,0.5171232876712328
P275959,1942,592,3.2804054054054053,0.18022657054582905,0.5371621621621622
P275960,347,92,3.7717391304347827,0.12968299711815562,0.4891304347826087
P275968,961,295,3.2576271186440677,0.3184183142559833,0.8372881355932204
P275976,1409,968,1.4555785123966942,0.6827537260468417,0.9493801652892562
P275983,4779,2321,2.059026281775097,0.48901443816698054,0.944851357173632
P276002,1581,757,2.0885072655217964,0.46363061353573687,0.9352708058124174
P276013,2945,1351,2.179866765358993,0.4302207130730051,0.8911917098445595
P276032,30,3,10.0,0.7,1.0
P276034,10,2,5.0,0.7,0.5
P276040,392,163,2.4049079754601226,0.3163265306122449,0.7361963190184049
P276059,1220,278,4.388489208633094,0.1581967213114754,0.5251798561151079
P276075,536,337,1.5905044510385757,0.6511194029850746,0.9910979228486647
P276087,1539,793,1.9407313997477933,0.4282001299545159,0.7919293820933165
P276091,243,194,1.2525773195876289,0.8065843621399177,0.9639175257731959
P276108,578,451,1.2815964523281596,0.773356401384083,0.9667405764966741
P276124,133,90,1.4777777777777779,0.06766917293233082,0.08888888888888889
P276137,207,72,2.875,0.34299516908212563,0.875
P276138,1055,724,1.457182320441989,0.6682464454976303,0.9419889502762431
P276155,2598,1638,1.586080586080586,0.6066204772902233,0.9346764346764347
P276166,684,411,1.6642335766423357,0.6345029239766082,0.9464720194647201
P276182,114,92,1.2391304347826086,0.8421052631578947,0.9891304347826086
P276197,345,161,2.142857142857143,0.3101449275362319,0.639751552795031
P276199,423,71,5.957746478873239,0.1111111111111111,0.4647887323943662
P276203,234,180,1.3,0.8290598290598291,1.0
P276219,2568,1641,1.5648994515539305,0.5700934579439252,0.8750761730652041
P276235,39,20,1.95,0.10256410256410256,0.2
P276246,28,13,2.1538461538461537,0.42857142857142855,0.8461538461538461
P276250,37,12,3.0833333333333335,0.2972972972972973,0.5833333333333334
P276267,3658,2047,1.7870053737176355,0.5415527610716239,0.9545676599902296
P276285,2185,1126,1.9404973357015987,0.4842105263157895,0.9147424511545293
P276300,967,726,1.3319559228650137,0.750775594622544,0.9834710743801653
P276317,2272,1066,2.131332082551595,0.3908450704225352,0.7861163227016885
P276329,940,419,2.243436754176611,0.4308510638297872,0.9093078758949881
P276343,400,161,2.484472049689441,0.3225,0.6832298136645962
P276368,391,286,1.367132867132867,0.7493606138107417,0.9790209790209791
P276371,728,268,2.716417910447761,0.30357142857142855,0.7798507462686567
P276380,3200,1094,2.9250457038391224,0.2925,0.8308957952468007
P276412,1181,865,1.3653179190751445,0.7273497036409822,0.9722543352601156
P276422,235,63,3.7301587301587302,0.251063829787234,0.5873015873015873
P276437,1149,595,1.93109243697479,0.4630113141862489,0.8453781512605042
P276444,468,177,2.6440677966101696,0.2264957264957265,0.559322033898305
P276460,588,127,4.6299212598425195,0.1054421768707483,0.4566929133858268
P276467,1833,706,2.596317280453258,0.4026186579378069,0.6940509915014165
P276476,671,430,1.5604651162790697,0.6095380029806259,0.9
P276486,1041,492,2.1158536585365852,0.4092219020172911,0.8028455284552846
P276494,206,32,6.4375,0.11165048543689321,0.34375
P276504,372,106,3.509433962264151,0.3172043010752688,0.7358490566037735
P276519,1554,1135,1.3691629955947135,0.7239382239382239,0.9841409691629956
P276521,538,199,2.7035175879396984,0.2100371747211896,0.35175879396984927
P276536,2624,1101,2.3832879200726613,0.3826219512195122,0.896457765667575
P276550,711,462,1.5389610389610389,0.6483825597749648,0.974025974025974
P276561,1350,528,2.5568181818181817,0.39481481481481484,0.9526515151515151
P276573,832,641,1.2979719188767551,0.7680288461538461,0.9781591263650546
P276589,2155,856,2.517523364485981,0.32993039443155453,0.7628504672897196
P276599,860,436,1.9724770642201834,0.44069767441860463,0.8188073394495413
P276617,375,276,1.358695652173913,0.712,0.9528985507246377
P276618,326,54,6.037037037037037,0.10429447852760736,0.4444444444444444
P276629,1304,607,2.1482701812191105,0.4378834355828221,0.9011532125205931
P276642,2672,1186,2.2529510961214165,0.14782934131736528,0.27318718381112983
P276645,44,8,5.5,0.20454545454545456,0.625
P276661,497,261,1.9042145593869733,0.5050301810865191,0.9348659003831418
P276665,195,79,2.4683544303797467,0.4205128205128205,0.7974683544303798
P276674,300,263,1.1406844106463878,0.8866666666666667,1.0
P276691,652,300,2.1733333333333333,0.4340490797546012,0.8766666666666667
P276706,3409,1591,2.1426775612822127,0.36286300968025814,0.742928975487115
P276711,2463,1682,1.4643281807372175,0.634997969955339,0.915576694411415
P276715,262,103,2.5436893203883497,0.31297709923664124,0.7766990291262136
P276727,480,244,1.9672131147540983,0.46041666666666664,0.8729508196721312
P276753,3147,1035,3.0405797101449274,0.2554814108674929,0.7623188405797101
P276760,336,148,2.27027027027027,0.43452380952380953,0.8378378378378378
P276765,466,222,2.099099099099099,0.41416309012875535,0.8243243243243243
P276770,392,295,1.3288135593220338,0.7959183673469388,0.9830508474576272
P276774,233,51,4.568627450980392,0.15450643776824036,0.49019607843137253
P276781,601,280,2.1464285714285714,0.45923460898502494,0.9357142857142857
P276794,1788,912,1.9605263157894737,0.5095078299776287,0.9868421052631579
P276812,386,76,5.078947368421052,0.19948186528497408,0.5131578947368421
P276816,1131,490,2.3081632653061224,0.39345711759504864,0.8857142857142857
P276822,15,7,2.142857142857143,0.5333333333333333,1.0
P276825,1181,340,3.473529411764706,0.2201524132091448,0.7558823529411764
P276832,8,6,1.3333333333333333,0.25,0.3333333333333333
P276848,622,192,3.2395833333333335,0.2652733118971061,0.84375
P276849,279,240,1.1625,0.8566308243727598,0.9916666666666667
P276856,569,205,2.7756097560975608,0.281195079086116,0.751219512195122
P276868,2888,815,3.543558282208589,0.23234072022160665,0.7705521472392638
P276872,1169,848,1.3785377358490567,0.7040205303678357,0.9174528301886793
P276885,3289,1286,2.557542768273717,0.3384007297050775,0.7037325038880249
P276899,51,13,3.923076923076923,0.27450980392156865,0.46153846153846156
P276914,493,240,2.0541666666666667,0.2657200811359026,0.5375
P276922,850,300,2.8333333333333335,0.28,0.7733333333333333
P276937,267,124,2.153225806451613,0.5355805243445693,0.8629032258064516
P276938,138,35,3.942857142857143,0.13043478260869565,0.4857142857142857
P276948,274,71,3.859154929577465,0.19343065693430658,0.647887323943662
P276960,12,12,1.0,1.0,1.0
P276962,6,3,2.0,0.3333333333333333,0.6666666666666666
P276974,131,52,2.519230769230769,0.4961832061068702,0.8461538461538461
P276984,2728,1699,1.605650382577987,0.6092375366568915,0.9593878752207181
P276991,1427,962,1.4833679833679834,0.6762438682550805,0.9532224532224532
P277002,1527,717,2.1297071129707112,0.4407334643091028,0.902370990237099
P277020,2117,1435,1.4752613240418118,0.6263580538497875,0.9059233449477352
P277025,241,160,1.50625,0.7261410788381742,0.98125
P277027,4585,1612,2.844292803970223,0.2401308615049073,0.6501240694789082
P277046,1711,679,2.519882179675994,0.42197545295149036,0.7717231222385862
P277055,659,370,1.781081081081081,0.5508345978755691,0.9351351351351351
P277072,131,48,2.7291666666666665,0.2595419847328244,0.6875
P277080,2304,1548,1.4883720930232558,0.6228298611111112,0.9147286821705426
P277089,7,5,1.4,0.8571428571428571,1.0
P277105,744,249,2.9879518072289155,0.2916666666666667,0.7188755020080321
P277130,2254,1552,1.452319587628866,0.6459627329192547,0.9207474226804123
P277135,2655,1671,1.5888689407540395,0.6030131826741997,0.9341711549970078
P277152,1525,666,2.28978978978979,0.3416393442622951,0.7417417417417418
P277153,205,56,3.6607142857142856,0.15121951219512195,0.25
P277166,1704,677,2.51698670605613,0.3703051643192488,0.8257016248153619
P277174,3607,1234,2.9230145867098867,0.28444690878846685,0.7641815235008104
P277180,92,64,1.4375,0.6739130434782609,0.875
P277192,308,93,3.3118279569892475,0.16883116883116883,0.5268817204301075
P277211,1929,1549,1.2453195610071013,0.769310523587351,0.9347966429954809
P277239,4511,469,9.618336886993603,0.07005098647749945,0.6631130063965884
P277244,297,124,2.3951612903225805,0.4377104377104377,0.7580645161290323
P277249,252,100,2.52,0.30952380952380953,0.77
P277253,1659,723,2.2946058091286305,0.2754671488848704,0.5892116182572614
P277264,1704,895,1.9039106145251397,0.511150234741784,0.9508379888268157
P277266,2305,1269,1.8163908589440505,0.5279826464208243,0.9432624113475178
P277275,346,268,1.291044776119403,0.7658959537572254,0.9738805970149254
P277277,1062,729,1.4567901234567902,0.660075329566855,0.9231824417009602
P277287,324,116,2.793103448275862,0.027777777777777776,0.07758620689655173
P277295,45,11,4.090909090909091,0.26666666666666666,0.9090909090909091
P277314,1099,264,4.162878787878788,0.20291173794358508,0.6742424242424242
P277325,220,210,1.0476190476190477,0.9454545454545454,0.9857142857142858
P277335,3107,1065,2.9173708920187793,0.10749919536530415,0.28732394366197184
P277348,5823,470,12.38936170212766,0.0381246780010304,0.46382978723404256
P277355,207,95,2.1789473684210527,0.24154589371980675,0.47368421052631576
P277357,261,78,3.3461538461538463,0.32950191570881227,0.8589743589743589
P277361,545,259,2.1042471042471043,0.4935779816513762,0.9343629343629344
P277369,24,17,1.411764705882353,0.125,0.17647058823529413
P277374,318,264,1.2045454545454546,0.8364779874213837,0.9924242424242424
P277389,2654,1065,2.492018779342723,0.35681989449886964,0.8356807511737089
P277406,362,236,1.5338983050847457,0.5165745856353591,0.6610169491525424
P277407,512,179,2.8603351955307263,0.173828125,0.41899441340782123
P277424,380,264,1.4393939393939394,0.7157894736842105,0.9924242424242424
P277439,2700,1253,2.154828411811652,0.38851851851851854,0.8156424581005587
P277441,824,361,2.2825484764542936,0.42839805825242716,0.9030470914127424
P277458,8,2,4.0,0.125,0.5
P277476,1012,234,4.3247863247863245,0.17687747035573123,0.5641025641025641
P277483,111,17,6.529411764705882,0.18018018018018017,0.47058823529411764
P277504,1414,554,2.5523465703971118,0.3606789250353607,0.8032490974729242
P277505,1071,327,3.2752293577981653,0.20261437908496732,0.5626911314984709
P277522,260,83,3.1325301204819276,0.3423076923076923,0.8433734939759037
P277539,912,279,3.2688172043010755,0.24342105263157895,0.7455197132616488
P277544,2283,735,3.1061224489795918,0.19929916776171705,0.5224489795918368
P277548,1670,578,2.889273356401384,0.2401197604790419,0.6332179930795848
P277565,2716,1277,2.1268598277212214,0.4053755522827688,0.8292873923257635
P277575,422,228,1.8508771929824561,0.46919431279620855,0.7894736842105263
P277578,306,191,1.6020942408376964,0.6862745098039216,0.9162303664921466
P277583,1050,786,1.3358778625954197,0.6923809523809524,0.9122137404580153
P277592,3449,1197,2.881370091896408,0.22934183821397505,0.6374269005847953
P277601,579,361,1.6038781163434903,0.6701208981001727,0.9501385041551247
P277617,1987,915,2.1715846994535517,0.5128334172118773,0.9311475409836065
P277622,1225,247,4.959514170040486,0.15755102040816327,0.5141700404858299
P277634,929,433,2.1454965357967666,0.4327233584499462,0.8914549653579676
P277646,451,83,5.433734939759036,0.082039911308204,0.3855421686746988
P277662,2076,1174,1.768313458262351,0.4869942196531792,0.8313458262350937
P277670,770,395,1.9493670886075949,0.5025974025974026,0.9215189873417722
P277683,4051,1511,2.6810059563203175,0.2661071340409775,0.6684315023163467
P277700,3874,1706,2.2708089097303636,0.33144037170882806,0.7145369284876905
P277715,28,5,5.6,0.14285714285714285,0.4
P277727,890,258,3.449612403100775,0.19887640449438201,0.5968992248062015
P277743,263,164,1.603658536585366,0.23193916349809887,0.3597560975609756
P277757,16,4,4.0,0.375,1.0
P277769,329,241,1.3651452282157677,0.7325227963525835,0.9626556016597511
P277802,492,108,4.555555555555555,0.08130081300813008,0.3333333333333333
P277805,993,435,2.282758620689655,0.2940584088620342,0.6
P277808,194,89,2.1797752808988764,0.35051546391752575,0.6179775280898876
P277838,6575,1756,3.7443052391799543,0.23224334600760457,0.8297266514806378
P277848,53,22,2.409090909090909,0.09433962264150944,0.18181818181818182
P277868,782,464,1.6853448275862069,0.6112531969309463,0.9913793103448276
P277871,3967,1553,2.554410817772054,0.38517771615830604,0.8963296844816484
P277876,861,357,2.411764705882353,0.35423925667828104,0.7703081232492998
P277890,1351,1059,1.2757318224740322,0.7846039970392302,0.9735599622285175
P277895,2154,1005,2.1432835820895524,0.41875580315691735,0.8597014925373134
P277906,3108,1019,3.0500490677134446,0.22586872586872586,0.6702649656526006
P277907,13,3,4.333333333333333,0.3076923076923077,1.0
P277925,33,12,2.75,0.36363636363636365,1.0
P277942,58,53,1.0943396226415094,0.13793103448275862,0.1509433962264151
P277949,657,227,2.894273127753304,0.243531202435312,0.5947136563876652
P277962,641,316,2.028481012658228,0.24648985959438377,0.4873417721518987
P277969,2359,1402,1.6825962910128387,0.5476896990250106,0.8823109843081313
P277986,7,2,3.5,0.14285714285714285,0.5
P278003,626,426,1.4694835680751173,0.6517571884984026,0.9248826291079812
P278020,1422,684,2.0789473684210527,0.4479606188466948,0.8845029239766082
P278039,1103,234,4.713675213675214,0.21940163191296463,0.6752136752136753
P278042,367,144,2.548611111111111,0.19618528610354224,0.4513888888888889
P278057,2797,1210,2.311570247933884,0.3503754022166607,0.7628099173553718
P278071,529,191,2.769633507853403,0.29111531190926276,0.6858638743455497
P278081,245,205,1.1951219512195121,0.8530612244897959,0.9853658536585366
P278098,2044,756,2.7037037037037037,0.2842465753424658,0.7103174603174603
P278116,648,286,2.265734265734266,0.41512345679012347,0.8846153846153846
P278135,501,269,1.862453531598513,0.5349301397205589,0.9776951672862454
P278147,332,273,1.216117216117216,0.8253012048192772,0.978021978021978
P278152,1244,485,2.5649484536082476,0.2757234726688103,0.6556701030927835
P278172,2639,1673,1.5774058577405858,0.5475558923834786,0.8230723251643753
P278181,914,267,3.4232209737827715,0.23085339168490154,0.6554307116104869
P278199,390,275,1.4181818181818182,0.6692307692307692,0.9127272727272727
P278200,1315,447,2.941834451901566,0.29581749049429656,0.796420581655481
P278215,19,12,1.5833333333333333,0.6842105263157895,0.75
P278228,534,401,1.3316708229426435,0.7359550561797753,0.9301745635910225
P278242,191,53,3.6037735849056602,0.15706806282722513,0.5471698113207547
P278250,526,273,1.9267399267399268,0.5304182509505704,0.978021978021978
P278268,3246,2177,1.4910427193385394,0.6746765249537893,0.949471750114837
